doi,clientId,publicationYear,resourceType,title,publisher,isPublisher,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi
10.5281/zenodo.8033347,cern.zenodo,2023,Software,JulianFrattini/cira: Demo Version,Zenodo,0,1,0,1,0
10.5281/zenodo.8033346,cern.zenodo,2023,Software,JulianFrattini/cira: Demo Version,Zenodo,0,1,0,0,0
10.5281/zenodo.8033435,cern.zenodo,2023,Software,JulianFrattini/cira-ui: Demo Version,Zenodo,0,1,0,1,0
10.5281/zenodo.8033434,cern.zenodo,2023,Software,JulianFrattini/cira-ui: Demo Version,Zenodo,0,1,0,0,0
10.5281/zenodo.8033534,cern.zenodo,2023,Software,JulianFrattini/cira-eval: Workshop evaluation,Zenodo,0,1,0,1,0
10.5281/zenodo.8034167,cern.zenodo,2023,Other,"Supplementary Material for ""Investigating the relationship between personalities and agile team climate: a replicated study""",Zenodo,0,1,0,1,0
10.6084/m9.figshare.23512829,figshare.ars,2023,Text,Additional file 1 of The meaning of sedentary behavior among older adults: a phenomenological hermeneutic study,figshare,0,1,0,1,0
10.6084/m9.figshare.23512829.v1,figshare.ars,2023,Text,Additional file 1 of The meaning of sedentary behavior among older adults: a phenomenological hermeneutic study,figshare,0,1,0,1,0
10.6084/m9.figshare.23512832,figshare.ars,2023,Text,Additional file 2 of The meaning of sedentary behavior among older adults: a phenomenological hermeneutic study,figshare,0,1,0,1,0
10.6084/m9.figshare.23512832.v1,figshare.ars,2023,Text,Additional file 2 of The meaning of sedentary behavior among older adults: a phenomenological hermeneutic study,figshare,0,1,0,1,0
10.6084/m9.figshare.c.6694925,figshare.ars,2023,Collection,The meaning of sedentary behavior among older adults: a phenomenological hermeneutic study,figshare,0,1,0,1,0
10.6084/m9.figshare.c.6694925.v1,figshare.ars,2023,Collection,The meaning of sedentary behavior among older adults: a phenomenological hermeneutic study,figshare,0,1,0,1,0
10.5281/zenodo.8042256,cern.zenodo,2023,Dataset,The Upper Bound of Information Diffusion in Code Review,Zenodo,0,1,0,1,0
10.5281/zenodo.8060722,cern.zenodo,2023,Dataset,Acceptance Behavior Theories and Models in Software Engineering,Zenodo,0,1,0,1,0
10.5281/zenodo.8060721,cern.zenodo,2023,Dataset,Acceptance Behavior Theories and Models in Software Engineering,Zenodo,0,1,0,0,1
10.6084/m9.figshare.23614125,figshare.ars,2023,Dataset,Additional file 1 of Bibliometric mining of research directions and trends for big data,figshare,0,1,0,1,0
10.6084/m9.figshare.23614125.v1,figshare.ars,2023,Dataset,Additional file 1 of Bibliometric mining of research directions and trends for big data,figshare,0,1,0,1,0
10.6084/m9.figshare.c.6723036,figshare.ars,2023,Collection,Bibliometric mining of research directions and trends for big data,figshare,0,1,0,1,0
10.6084/m9.figshare.c.6723036.v1,figshare.ars,2023,Collection,Bibliometric mining of research directions and trends for big data,figshare,0,1,0,1,0
10.5281/zenodo.8135747,cern.zenodo,2023,Dataset,Recovery of unavailable Requirements Quality Artifacts,Zenodo,0,1,0,1,0
10.5281/zenodo.8136288,cern.zenodo,2023,Dataset,Recovery of unavailable Requirements Quality Artifacts,Zenodo,0,1,0,1,0
10.5281/zenodo.8134403,cern.zenodo,2023,InteractiveResource,Open Science – Artefact Management Guideline,Zenodo,0,1,0,1,0
10.5281/zenodo.8134402,cern.zenodo,2024,InteractiveResource,Open Science – Artefact Management Guideline,Zenodo,0,1,0,0,1
10.5281/zenodo.8167541,cern.zenodo,2023,Software,JulianFrattini/rqt-tool: Repository Setup,Zenodo,0,1,0,1,0
10.5281/zenodo.8167540,cern.zenodo,2023,Software,JulianFrattini/rqt-tool: Repository Setup,Zenodo,0,1,0,0,0
10.5281/zenodo.8167598,cern.zenodo,2023,Dataset,Requirements Quality Theory: State-of-the-Art,Zenodo,0,1,0,1,0
10.5281/zenodo.8167597,cern.zenodo,2023,Dataset,Requirements Quality Theory: State-of-the-Art,Zenodo,0,1,0,0,1
10.5281/zenodo.8232633,cern.zenodo,2023,Dataset,Recovery of unavailable Requirements Quality Artifacts,Zenodo,0,1,0,1,0
10.5281/zenodo.8233989,cern.zenodo,2023,Dataset,Developers Talking About Code Quality: study design and dataset,Zenodo,0,1,0,1,0
10.5281/zenodo.8233988,cern.zenodo,2023,Dataset,Developers Talking About Code Quality: study design and dataset,Zenodo,0,1,0,0,1
10.5281/zenodo.8248333,cern.zenodo,2023,Dataset,Status Quo and Problems of Requirements Engineering for Machine Learning: Results from an International Survey,Zenodo,0,1,0,1,0
10.5281/zenodo.8248332,cern.zenodo,2023,Dataset,Status Quo and Problems of Requirements Engineering for Machine Learning: Results from an International Survey,Zenodo,0,1,0,0,0
10.5281/zenodo.8328166,cern.zenodo,2023,Software,Replication package: Augmented Testing to support Manual GUI-based regression testing,Zenodo,0,1,0,1,0
10.5281/zenodo.8328165,cern.zenodo,2023,Software,Replication package: Augmented Testing to support Manual GUI-based regression testing,Zenodo,0,1,0,0,0
10.5281/zenodo.8329076,cern.zenodo,2023,Text,Understanding and Evaluating Software Reuse Costs and Benefits from Industrial Cases - A Systematic Literature Review,Zenodo,0,1,0,1,0
10.5281/zenodo.8329075,cern.zenodo,2024,Journal,Understanding and Evaluating Software Reuse Costs and Benefits from Industrial Cases - A Systematic Literature Review,Zenodo,0,1,0,0,1
10.5281/zenodo.8341440,cern.zenodo,2023,Software,JulianFrattini/nlp4re-tools: Initial Draft,Zenodo,0,1,0,1,0
10.5281/zenodo.8341439,cern.zenodo,2024,Software,"NLP4RE Tools: Classification, Overview, and Management (Book Chapter Companion)",Zenodo,0,1,0,0,1
10.5281/zenodo.10035738,cern.zenodo,2023,Other,"Supplementary Material for ""Investigating the relationship between personalities and agile team climate: a replicated study""",Zenodo,0,1,0,1,0
10.5281/zenodo.10035742,cern.zenodo,2023,Other,"Supplementary Material for ""Investigating the relationship between personalities and agile team climate: a replicated study""",Zenodo,0,1,0,1,0
10.5281/zenodo.10061540,cern.zenodo,2024,Software,"Supplementary materials for the study ""A Taxonomy of Microservice Integration Techniques""",Zenodo,0,1,0,0,1
10.5281/zenodo.10092393,cern.zenodo,2023,Dataset,ML-Enabled Systems Model Deployment and Monitoring: Status Quo and Problems,Zenodo,0,1,0,0,1
10.5281/zenodo.10092394,cern.zenodo,2023,Dataset,ML-Enabled Systems Model Deployment and Monitoring: Status Quo and Problems,Zenodo,0,1,0,1,0
10.5281/zenodo.10149474,cern.zenodo,2024,Software,JulianFrattini/rqi-relf: REFSQ Publication,Zenodo,0,1,0,0,1
10.5281/zenodo.10149475,cern.zenodo,2023,Software,JulianFrattini/rqi-relf: REFSQ Submission,Zenodo,0,1,0,1,0
10.5281/zenodo.10214941,cern.zenodo,2023,Other,"Interview Guidelines for ""Describing Globally Distributed Software Architectures for Tax Compliance""",Zenodo,0,1,0,0,0
10.5281/zenodo.10214942,cern.zenodo,2023,Other,"Interview Guidelines for ""Describing Globally Distributed Software Architectures for Tax Compliance""",Zenodo,0,1,0,1,0
10.5281/zenodo.10253150,cern.zenodo,2023,Journal,Understanding and Evaluating Software Reuse Costs and Benefits from Industrial Cases - A Systematic Literature Review,Zenodo,0,1,0,1,0
